类型,协议方法/事件,方向,TUI 处理,IDE/stdio 支持,SessionUpdate tag,⚠️ TUI vs stdio 不一致,备注
Notification,notifications/peri/*,Server → TUI,debug 日志（无 TUI 动作）,不发送,,"",保留扩展点
,,,,,,
"# session/update 变体（SessionUpdate tag）",,,,,,,
SessionUpdate,agent_message_chunk,Server → TUI (①),AssistantChunk,支持,agent_message_chunk,"",流式文本 chunk
SessionUpdate,agent_thought_chunk,Server → TUI (①),AiReasoning,支持,agent_thought_chunk,"",流式推理/thinking chunk
SessionUpdate,tool_call,Server → TUI (①),ToolStart,支持,tool_call,"",工具调用开始（含 rawInput）
SessionUpdate,tool_call_update,Server → TUI (①),ToolEnd,支持,tool_call_update,"",工具调用结束（含 rawOutput + status）
SessionUpdate,plan,Server → TUI (①),TodoUpdate,支持,plan,"",Todo 列表更新
SessionUpdate,usage_update,Server → TUI (②),TUI 忽略（用 peri/agent_event）,支持,usage_update,"⚠️ TUI 忽略此路径（有损）；Stdio 仅能拿到 (tokens, size) 丢失 input/output/thoughtTokens 分项",Token 用量；IDE 消费此路径
SessionUpdate,session_info_update,Server → TUI (②),TUI 忽略（用 peri/agent_event）,支持,session_info_update,"⚠️ TUI 忽略此路径；Stdio 拿到的是重试标题而非完整 error 信息",LLM 重试/session 元数据；IDE 消费此路径
SessionUpdate,config_option_update,Server → TUI,更新 UI 控件状态,支持,config_option_update,"",模型/模式/推理强度切换后推送
SessionUpdate,available_commands_update,Server → TUI,学习 Agent 命令列表,支持,available_commands_update,"",session/new + skill 变更时推送
SessionUpdate,current_mode_update,Server → TUI,（未使用）,支持,current_mode_update,"",旧 API 过渡期保留
,,,,,,
"# peri/agent_event 事件（ExecutorEvent → TUI AgentEvent）",,,,,,,
ExecutorEvent,TextChunk,Server → TUI (①),不经过此路径,不发送,,"",走 session/update → agent_message_chunk
ExecutorEvent,AiReasoning,Server → TUI (①),不经过此路径,不发送,,"",走 session/update → agent_thought_chunk
ExecutorEvent,ToolStart,Server → TUI (①),不经过此路径,不发送,,"",走 session/update → tool_call
ExecutorEvent,ToolEnd,Server → TUI (①),不经过此路径,不发送,,"",走 session/update → tool_call_update
ExecutorEvent,TodoUpdate,Server → TUI (①),不经过此路径,不发送,,"",走 session/update → plan
ExecutorEvent,LlmCallEnd(usage=Some),Server → TUI (②),TokenUsageUpdate,发送 UsageUpdate,,"⚠️ TUI 拿到完整 usage（input_tokens/output_tokens/model）；Stdio 仅拿到 (tokens, size) 丢失 thoughtTokens 和 model",双路径：TUI 用直传，IDE 用 session/update
ExecutorEvent,ContextWarning,Server → TUI (②),ContextWarning,发送 UsageUpdate,,"⚠️ TUI 拿到 (used_tokens, total_tokens, percentage)；Stdio 仅拿到 (used, total) 丢失 percentage",双路径：TUI 用直传（含 percentage），IDE 用 session/update（丢失 percentage）
ExecutorEvent,LlmRetrying,Server → TUI (②),LlmRetrying,发送 SessionInfoUpdate,,"⚠️ TUI 拿到 (attempt, max_attempts, delay_ms, error)；Stdio 仅拿到重试标题字符串，丢失 error 详情",双路径：TUI 用直传（含 error），IDE 用 session/update（丢失 error）
ExecutorEvent,StateSnapshot,Server → TUI (③),StateSnapshot,不发送,,"⚠️ Stdio 无法获取消息状态快照；依赖历史消息回放",每轮 ReAct 结束的消息状态快照
ExecutorEvent,SubagentStarted,Server → TUI (③),SubAgentStart,不发送,,"⚠️ Stdio 无法感知 SubAgent 启动/停止",SubAgent 启动（含 instance_id + is_background）
ExecutorEvent,SubagentStopped,Server → TUI (③),SubAgentEnd,不发送,,"⚠️ Stdio 无法感知 SubAgent 结束及结果",SubAgent 结束（含 result + is_error）
ExecutorEvent,CompactStarted,Server → TUI (③),CompactStarted,不发送,,"⚠️ Stdio 无法感知 compact 触发",上下文压缩开始
ExecutorEvent,CompactCompleted,Server → TUI (③),CompactCompleted,不发送,,"⚠️ Stdio 无法获取 compact 后的消息列表替换",上下文压缩完成（含 messages + files + skills）
ExecutorEvent,CompactError,Server → TUI (③),CompactError,不发送,,"",上下文压缩失败
ExecutorEvent,BackgroundTaskCompleted,Server → TUI (③),BackgroundTaskCompleted,不发送,,"⚠️ Stdio 无法感知后台 SubAgent 完成",后台 SubAgent 完成
ExecutorEvent,LspDiagnostics,Server → TUI (③),LspDiagnostics,不发送,,"",LSP 诊断通知
ExecutorEvent,AgentExecutionFailed,Server → TUI (③),Interrupted 或 Error,不发送,,"⚠️ Stdio 无法区分 Interrupted vs Error",message=="Interrupted by user" 时走 Interrupted
ExecutorEvent,StepDone,Server → TUI (过滤),不传递,不发送,,"",每步完成（内部信号）
ExecutorEvent,MessageAdded,Server → TUI (过滤),不传递,不发送,,"",消息写入 state（内部信号）
ExecutorEvent,LlmCallStart,Server → TUI (过滤),不传递,不发送,,"",LLM 调用开始（内部信号）
ExecutorEvent,SessionEnded,Server → TUI (过滤),不传递,不发送,,"",会话结束（内部信号）
ExecutorEvent,LlmCallEnd(usage=None),Server → TUI (过滤),不传递,不发送,,"",LLM 调用结束无 usage
,,,,,,
"# 类别说明",,,,,,,
"说明",① Full SessionUpdate,,仅 session/update，不转发 peri/agent_event,,,"TUI 通过 handle_session_update_peri 解析 sessionUpdate tag"
"说明",② Lossy SessionUpdate,,session/update + peri/agent_event 双发,,,"⚠️ TUI 忽略 session/update（有损）用直传（无损）；Stdio 只能拿到有损版本"
"说明",③ TUI-only,,仅 peri/agent_event，无 session/update,,,"⚠️ Stdio 完全无法感知此类事件（StateSnapshot/SubAgent/Compact 等）"
"说明",过滤,,不传递到任何前端,,,"内部信号，EventSink 丢弃"
,,,,,,
"# ⚠️ TUI vs Stdio 不一致汇总",,,,,,,
"不一致","Category ② 数据有损",,,,,Stdio 的 UsageUpdate 丢失 inputTokens/outputTokens/thoughtTokens/model/percentage/error 等字段
"不一致","Category ③ 完全不可见",,,,,Stdio 无法获取 StateSnapshot/SubAgent 生命周期/Compact/BackgroundTask/LspDiagnostics/AgentExecutionFailed
"不一致","Agent 执行结束信号",,,,,TUI 通过 peri/agent_event_done 触发 Done；Stdio 无此信号
"不一致","HITL 交互机制",,,,,TUI 展示 UI 等待用户操作；Stdio（PrintBroker）自动批准/回答
"不一致","EventSink 实现差异",,,,,TUI 用 TransportEventSink（双路径）；Stdio 用 StdioEventSink（仅 SessionUpdate）
"不一致","session/update 序列化格式",,,,,TUI 通过 JSON Value 手动反序列化；Stdio 通过 SDK SessionNotification 结构化发送
